Eddard, Stark, Ned@westeros.net, Research & Development, 100 - 199
Benjen, Stark, ColdHands@westeros.net, Auditing, 600 - 699
Catelyn, Stark, Mother@westeros.net, Human Resources, 300 - 399
Arya, Stark, A_Girl@westeros.net, Research & Development, 100 - 199
Robb, Stark, YoungWolf@westeros.net, Research & Development, 100 - 199
Sansa, Stark, LittleDove@westeros.net, Research & Development, 100 - 199
Bran, Stark, TheRaven@westeros.net, Research & Development, 100 - 199
Rickon, Stark, Shaggydog@westeros.net, Research & Development, 100 - 199
Jon, Snow, TheGhostBrother@westeros.net, Auditing, 600 - 699
Tyrion, Lannister, TheImp@westeros.net, Accounting, 400 - 499
Jaime, Lannister, TheGoldenHand@westeros.net, Accounting, 400 - 499
Cersei, Lannister, TheLionQueen@westeros.net, Accounting, 400 - 499
Robert, Baratheon, TheUsurper@westeros.net, Sales, 500 - 599
Stannis, Baratheon, ThePromised@westeros.net, Sales, 500 - 599
Renly, Baratheon, SummerKing@westeros.net, Sales, 500 - 599
Daenerys, Targaryen, MotherOfDragons@westeros.net, Marketing, 200 - 299
Viserys, Targaryen, GoldenKing@westeros.net, Marketing, 200 - 299
